0,22.009,49.26,0+57.527i,0+55.207i,33.867,0+46.268i,26.375,NaN,0+60.567i,16.033,0+57.864i,35.766,11.461,0+21.321i,56.858,0+37.5i,0+45.288i,670.73,128.84,0+140.73i,0+65.972i,0+94.042i,0+88.129i,0+7.7007i
462,0+696.95i,0+261.93i,0+288.08i,0+148.33i,195.67,201,255.37,NaN,477.16,185.5,131.08,0+132.31i,609.16,0+206.63i,176.84,123,0+723.56i,0+334.92i,197.51,0+312.18i,318.18,318.42,0+120.91i,262.04
468,240.13,144.94,190.12,153.97,0+155.93i,0+186.54i,38.827,NaN,0+1685.5i,0+222.15i,72.049,448.54,265.74,211.07,0+466.66i,317,773.11,537.01,0+214.42i,150.58,0+236.67i,99.824,0+373.94i,0+383.5i
474,0+283.41i,0+282.76i,0+155.93i,93.376,292.12,159.84,0+122.11i,NaN,191.53,0+388.74i,0+119.49i,414.35,0+59.397i,188.64,0+244.93i,223.15,317.99,454.4,482.01,0+380.55i,0+167.1i,0+122.54i,241.05,347.72
480,272.84,406.43,0+266.79i,0+257.42i,0+49.484i,108.94,246.93,NaN,0+1784.1i,0+86.724i,0+114.77i,297.63,241.69,0+173.76i,0+142.64i,189.24,0+823.44i,496.93,321.43,353.23,256.07,311.76,63.602,0+177.31i
486,0+1530.8i,263.3,0+305.83i,297.14,0+241.2i,0+233.12i,175.13,NaN,0+453.95i,0+101.53i,0+282.65i,82.919,160.96,0+222.13i,0+339.35i,116.96,520.66,186.17,0+517.56i,0+294.67i,0+284.98i,0+550.98i,326.91,0+240.33i
492,106.27,0+29.646i,0+13.277i,0+51.909i,75.094,71.921,112.1,NaN,32.31,0+66.562i,0+37.789i,37.861,33.925,0+52.433i,38.982,0+105.43i,0+62.326i,0+36.791i,0+74.533i,0+94.348i,0+27.985i,0+85.523i,83.841,82.691
498,0+27.837i,27.592,0+43.997i,23.09,13.819,19.176,0+32.897i,NaN,35.498,0+57.804i,0+79.861i,29.612,14.113,44.311,98.688,0+36.735i,0+38.335i,77.763,74.936,66.308,76.423,62.761,80.879,45.152
504,78.009,0+22.872i,0+29.275i,15.13,46.627,32.95,0+13.452i,NaN,0+50.519i,0+35.943i,9.7371,31.626,75.294,56.23,55.697,67.27,0+81.028i,6.7956,44.172,0+95.482i,0+101.44i,0+84.972i,0+79.069i,0+69.794i
510,63.994,52.022,0+29.827i,0+67.302i,0+53.178i,48.78,0+57.912i,NaN,0+18.697i,39.745,0+54.724i,78.533,0+32.386i,67.167,59.525,0+85.156i,0+117.04i,33.284,0+52.035i,0+59.294i,0+61.749i,0+23.145i,0+114.84i,0+65.545i
516,53.922,0+54.482i,0+41.978i,0+53.089i,0+14.229i,17.951,48.488,NaN,0+49.395i,35.906,0+64.763i,0+34.658i,42.451,66.969,67.52,0+81.222i,62.401,0+47.235i,0+97.103i,45.531,0+63.837i,0+116.56i,103.84,0+21.746i
522,53.641,41.073,0+21.878i,22.291,63.56,120.31,163.07,NaN,0+53.654i,29.954,26.915,0+26.573i,0+51.062i,0+35.212i,60.656,45.211,0+98.888i,0+52.734i,77.858,138.36,33.491,0+88.642i,0+75.005i,0+22.416i
528,173.84,0+39.204i,0+27.675i,60.774,70.86,53.783,0+23.912i,NaN,43.829,25.758,0+60.006i,0+17.3i,0+39.379i,0+75.086i,120.48,69.982,0+92.639i,71.304,0+17.763i,0+56.524i,0+35.089i,0+85.523i,0+36.949i,0+24.459i
534,65.703,13.423,0+35.3i,63.805,0+40.238i,72.568,57.499,NaN,29.98,41.393,58.782,20.304,0+27.69i,0+77.088i,0+46.472i,0+74.447i,0+95.311i,0+86.375i,0+70.303i,54.962,0+74.314i,0+78.75i,0+122.23i,0+35.32i
540,67.747,0+62.562i,0+57.789i,24.439,55.091,63.446,0+59.321i,NaN,0+52.414i,42.315,0+56.093i,18.944,33.028,52.257,0+31.493i,0+22.59i,0+52.837i,19.324,0+62.898i,75.725,20.728,0+36.281i,0+35.667i,0+56.383i
546,123.08,0+40.658i,0+56.15i,0+73.66i,47.769,41.986,0+70.971i,NaN,0+44.045i,42.315,0+67.279i,0+49.981i,51.841,70.557,0+76.041i,0+48.354i,0+27.947i,0+47.076i,0+83.829i,55.174,91.284,0+59.734i,76.43,0+101.92i
552,62.144,0+38.356i,35.728,29.495,0+34.467i,0+26.335i,41.424,NaN,36.284,0+42.979i,43.967,0+54.675i,38.934,58.395,59.373,0+52.892i,0+60.988i,0+102.35i,0+66.729i,25.027,0+29.157i,151.83,0+85.523i,0+45.162i
